Statistics results for Thu Feb 14 19:32:51 AST 2019
Dataset: F:\Mouniera_ADLQ\TAC_Gene_list_ADLQ_QCRI\Combined\Gene_list_Combined_PValue_updated_F-1.pgex
Pathway directory: F:\Pathway_analysis\Pathvisio\Pathways\wikipathways_Homo_sapiens_Curation-AnalysisCollection__gpml
Gene database: F:\Pathway_analysis\Pathvisio\DataBases\Hs_Derby_Ensembl_85.bridge, F:\Pathway_analysis\Pathvisio\DataBases\interactions_20160927.bridge
Criterion: (    [P.val]    <= 0.05)   AND ( [Fold.Change] >= 1.5  OR [Fold.Change] <=-1.5 ) 
Calculation method: pathway-centric. Calculations are performed after mapping data to pathways.
Total data points (N): 7605
Data points meeting criterion (R): 131

Pathway	positive (r)	measured (n)	total	%	Z Score	p-value (permuted)
Aryl Hydrocarbon Receptor	0	47	57	0.00%	-0.91	0.167
IL-3 Signaling Pathway	0	49	50	0.00%	-0.93	0.121
Vitamin B12 Metabolism	0	49	118	0.00%	-0.93	0.403
Hepatitis C and Hepatocellular Carcinoma	0	50	63	0.00%	-0.94	0.218
One carbon metabolism and related pathways	0	51	93	0.00%	-0.95	0.413
Cardiac Progenitor Differentiation	0	52	56	0.00%	-0.96	0.146
Cardiac Hypertrophic Response	0	54	61	0.00%	-0.98	0.160
ErbB Signaling Pathway	0	54	64	0.00%	-0.98	0.199
TGF-beta Receptor Signaling	0	54	56	0.00%	-0.98	0.151
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway	3	300	305	1.00%	-0.98	0.362
IL-1 signaling pathway	0	55	57	0.00%	-0.99	0.168
Complement and Coagulation Cascades	0	58	63	0.00%	-1.01	0.169
Preimplantation Embryo	0	58	60	0.00%	-1.01	0.174
Kit receptor signaling pathway	0	59	60	0.00%	-1.02	0.160
Myometrial Relaxation and Contraction Pathways	1	155	161	0.65%	-1.04	0.253
Proteasome Degradation	0	63	67	0.00%	-1.06	0.172
Association Between Physico-Chemical Features and Toxicity Associated Pathways	0	66	78	0.00%	-1.08	0.141
Histone Modifications	0	66	69	0.00%	-1.08	0.202
AMP-activated Protein Kinase (AMPK) Signaling	0	67	78	0.00%	-1.09	0.139
Primary Focal Segmental Glomerulosclerosis FSGS	0	73	78	0.00%	-1.14	0.113
Selenium Micronutrient Network	0	75	195	0.00%	-1.15	0.207
MicroRNAs in cardiomyocyte hypertrophy	0	84	109	0.00%	-1.22	0.192
Cytoplasmic Ribosomal Proteins	0	88	89	0.00%	-1.25	0.116
Electron Transport Chain	0	90	118	0.00%	-1.26	0.148
Corticotropin-releasing hormone signaling pathway	0	91	98	0.00%	-1.27	0.113
Apoptosis Modulation and Signaling	0	92	97	0.00%	-1.28	0.130
Allograft Rejection	0	95	112	0.00%	-1.30	0.128
GPCRs, Class A Rhodopsin-like	1	256	272	0.39%	-1.67	0.085
Chemokine signaling pathway	0	164	172	0.00%	-1.71	0.065
Amino acid conjugation	0	0	7	NaN%	NaN	0.000
Biochemical Pathways Part I	0	0	471	NaN%	NaN	0.000
HIF1A and PPARG regulation of glycolysis	0	0	19	NaN%	NaN	0.000
Phospholipid biosynthesis	0	0	12	NaN%	NaN	0.000
