Statistics results for Thu Feb 14 16:55:36 AST 2019
Dataset: F:\Mouniera_ADLQ\TAC_Gene_list_ADLQ_QCRI\Combined\Gene_list_Combined_PValue_updated_F-1.pgex
Pathway directory: F:\Pathway_analysis\Pathvisio\Pathways\wikipathways_Homo_sapiens_Curation-AnalysisCollection__gpml
Gene database: F:\Pathway_analysis\Pathvisio\DataBases\Hs_Derby_Ensembl_85.bridge, F:\Pathway_analysis\Pathvisio\DataBases\interactions_20160927.bridge
Criterion: (    [P.val]    <= 0.05)   AND ( [Fold.Change] >= 2  OR [Fold.Change] <=-2 ) 
Calculation method: pathway-centric. Calculations are performed after mapping data to pathways.
Total data points (N): 7605
Data points meeting criterion (R): 18

Pathway	positive (r)	measured (n)	total	%	Z Score	p-value (permuted)
T-Cell antigen Receptor (TCR)  Signaling Pathway	0	90	93	0.00%	-0.46	0.136
Amino Acid metabolism	0	91	205	0.00%	-0.47	0.999
Corticotropin-releasing hormone signaling pathway	0	91	98	0.00%	-0.47	0.168
Apoptosis Modulation and Signaling	0	92	97	0.00%	-0.47	0.155
G Protein Signaling Pathways	0	92	97	0.00%	-0.47	0.146
TNF alpha Signaling Pathway	0	92	97	0.00%	-0.47	0.147
GPCRs, Other	0	93	118	0.00%	-0.47	0.247
Allograft Rejection	0	95	112	0.00%	-0.48	0.172
B Cell Receptor Signaling Pathway	0	97	99	0.00%	-0.48	0.160
Integrin-mediated Cell Adhesion	0	100	102	0.00%	-0.49	0.157
Wnt Signaling Pathway and Pluripotency	0	100	106	0.00%	-0.49	0.157
Toll-like Receptor Signaling Pathway	0	102	109	0.00%	-0.50	0.165
Senescence and Autophagy in Cancer	0	106	112	0.00%	-0.50	0.180
ESC Pluripotency Pathways	0	115	123	0.00%	-0.53	0.166
Spinal Cord Injury	0	116	127	0.00%	-0.53	0.191
mRNA Processing	0	125	130	0.00%	-0.55	0.215
Adipogenesis	0	129	132	0.00%	-0.56	0.213
TGF-beta Signaling Pathway	0	132	133	0.00%	-0.56	0.208
Ectoderm Differentiation	0	138	145	0.00%	-0.58	0.207
Endoderm Differentiation	0	142	147	0.00%	-0.59	0.237
Brain-Derived Neurotrophic Factor (BDNF) signaling pathway	0	143	150	0.00%	-0.59	0.226
Mesodermal Commitment Pathway	0	145	155	0.00%	-0.59	0.210
Regulation of Actin Cytoskeleton	0	148	159	0.00%	-0.60	0.229
Calcium Regulation in the Cardiac Cell	0	150	164	0.00%	-0.60	0.242
Myometrial Relaxation and Contraction Pathways	0	155	161	0.00%	-0.61	0.239
Insulin Signaling	0	161	162	0.00%	-0.62	0.222
Integrated Breast Cancer Pathway	0	162	201	0.00%	-0.63	0.283
Chemokine signaling pathway	0	164	172	0.00%	-0.63	0.255
Metapathway biotransformation	0	178	189	0.00%	-0.66	0.289
Focal Adhesion	0	188	192	0.00%	-0.68	0.276
Circadian rythm related genes	0	209	210	0.00%	-0.71	0.307
GPCRs, Class A Rhodopsin-like	0	256	272	0.00%	-0.79	0.213
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway	0	300	305	0.00%	-0.86	0.091
Amino acid conjugation	0	0	7	NaN%	NaN	0.000
Biochemical Pathways Part I	0	0	471	NaN%	NaN	0.000
HIF1A and PPARG regulation of glycolysis	0	0	19	NaN%	NaN	0.000
Phospholipid biosynthesis	0	0	12	NaN%	NaN	0.000
