Statistics results for Thu Feb 14 13:05:35 AST 2019
Dataset: F:\Mouniera_ADLQ\TAC_Gene_list_ADLQ_QCRI\QCRI\Gene_list_QCRI_updated_F.pgex
Pathway directory: F:\Pathway_analysis\Pathvisio\Pathways\wikipathways_Homo_sapiens_Curation-AnalysisCollection__gpml
Gene database: F:\Pathway_analysis\Pathvisio\DataBases\Hs_Derby_Ensembl_85.bridge, F:\Pathway_analysis\Pathvisio\DataBases\interactions_20160927.bridge
Criterion: (   [FDR.P.val]   <= 0.05)   AND ( [Fold.Change] >= 2  OR [Fold.Change] <=-2 ) 
Calculation method: pathway-centric. Calculations are performed after mapping data to pathways.
Total data points (N): 7605
Data points meeting criterion (R): 1

Pathway	positive (r)	measured (n)	total	%	Z Score	p-value (permuted)
Integrin-mediated Cell Adhesion	0	100	102	0.00%	-0.12	0.012
Wnt Signaling Pathway and Pluripotency	0	100	106	0.00%	-0.12	0.018
Neural Crest Differentiation	0	101	102	0.00%	-0.12	0.008
Cell Cycle	0	102	108	0.00%	-0.12	0.005
Toll-like Receptor Signaling Pathway	0	102	109	0.00%	-0.12	0.009
Senescence and Autophagy in Cancer	0	106	112	0.00%	-0.12	0.010
DNA Damage Response (only ATM dependent)	0	113	118	0.00%	-0.12	0.018
ESC Pluripotency Pathways	0	115	123	0.00%	-0.12	0.010
Spinal Cord Injury	0	116	127	0.00%	-0.12	0.014
mRNA Processing	0	125	130	0.00%	-0.13	0.010
Adipogenesis	0	129	132	0.00%	-0.13	0.017
TGF-beta Signaling Pathway	0	132	133	0.00%	-0.13	0.016
Angiopoietin Like Protein 8 Regulatory Pathway	0	133	156	0.00%	-0.13	0.015
Ectoderm Differentiation	0	138	145	0.00%	-0.14	0.016
NRF2 pathway	0	141	145	0.00%	-0.14	0.012
Endoderm Differentiation	0	142	147	0.00%	-0.14	0.020
Regulation of toll-like receptor signaling pathway	0	142	153	0.00%	-0.14	0.011
Brain-Derived Neurotrophic Factor (BDNF) signaling pathway	0	143	150	0.00%	-0.14	0.016
Mesodermal Commitment Pathway	0	145	155	0.00%	-0.14	0.024
Regulation of Actin Cytoskeleton	0	148	159	0.00%	-0.14	0.018
Calcium Regulation in the Cardiac Cell	0	150	164	0.00%	-0.14	0.019
Myometrial Relaxation and Contraction Pathways	0	155	161	0.00%	-0.14	0.015
EGF/EGFR Signaling Pathway	0	161	163	0.00%	-0.15	0.013
Insulin Signaling	0	161	162	0.00%	-0.15	0.010
Integrated Breast Cancer Pathway	0	162	201	0.00%	-0.15	0.025
Chemokine signaling pathway	0	164	172	0.00%	-0.15	0.019
Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways	0	164	182	0.00%	-0.15	0.017
Metapathway biotransformation	0	178	189	0.00%	-0.15	0.020
Focal Adhesion	0	188	192	0.00%	-0.16	0.021
Circadian rythm related genes	0	209	210	0.00%	-0.17	0.020
MAPK Signaling Pathway	0	248	259	0.00%	-0.18	0.023
GPCRs, Class A Rhodopsin-like	0	256	272	0.00%	-0.19	0.026
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway	0	300	305	0.00%	-0.20	0.025
Amino acid conjugation	0	0	7	NaN%	NaN	0.000
Biochemical Pathways Part I	0	0	471	NaN%	NaN	0.000
HIF1A and PPARG regulation of glycolysis	0	0	19	NaN%	NaN	0.000
Phospholipid biosynthesis	0	0	12	NaN%	NaN	0.000
